title,video_url,label,label_desc,channel
"""Milne Hai Mujhse Aayi"" Aashiqui 2 Full Song with Lyrics | Aditya Roy Kapur, Shraddha Kapoor",https://www.youtube.com/watch?v=O1BG_5Pk5Bg,3,Music,T-Series
Neha Bhasin| Jutti Meri| Lyrical Translation | Folk Tales live | Season 1,https://www.youtube.com/watch?v=XoRZ23jGxh8,3,Music,Neha Bhasin
"Viewed If you thought our GATE 2025 team was strong, think again because we've just made it better!

A teacher whose name is synonymous with clarity, concepts, and confidence for generations of Computer Science students.

Explore all the new batches launched for GATE 2027: https://www.geeksforgeeks.org/courses/category/gate
.
.
.
#gfg #gate2027 #gateexam",https://www.youtube.com/post/UgkxldPnm2FX8yqck6VhGCe71d_y1LVLEUNh,4,Others,GeeksforGeeks
Getting Structured Output in JSON format,https://www.youtube.com/watch?v=CllLqPwCjD4,1,Learning,Telusko
#movie #shorts,https://www.youtube.com/watch?v=mg5xpeMXjIk,2,Entertainment,Jimmy movie
All the star - Kendrick lamar | SZA | Lyrics | Slowed | Whatsapp status | English song | Trending 🌛✨,https://www.youtube.com/watch?v=Lam5VyaDQvE,3,Music,Moon vibes
Logic Circuits Design From Boolean Expression Using NAND Gates | Question 6 | Digital Electronics,https://www.youtube.com/watch?v=-RCPJV0oOD0,1,Learning,ENGINEERING TUTORIAL
https://www.youtube.com/watch?v=geR1EVsuoZ0,https://www.youtube.com/watch?v=geR1EVsuoZ0,4,Others,Unknown
snackmunch all 15sec vrt,https://www.youtube.com/watch?v=-GkzX_FIC34,2,Entertainment,Unknown
Raat Bhar,https://music.youtube.com/watch?v=naT-pgv3kqY,3,Music,Aditya Rikhari - Topic
Diljit Dosanjh: Born To Shine (Official Music Video) G.O.A.T,https://www.youtube.com/watch?v=dCmp56tSSmA,3,Music,Diljit Dosanjh
ये लड़का बड़ा होकर दुनिया का सबसे मशहूर जादूगर बन गया #shorts #viral,https://www.youtube.com/watch?v=FXOc5Wdmu4U,2,Entertainment,Kickoff Buster
Ranjheya Ve,https://music.youtube.com/watch?v=_KvMXcl5Ano,3,Music,Zain Zohaib - Topic
"Mahiya Mahiya (HD) Video Song | Awarapan Movie | Mrinalini Sharma, Emraan Hashmi | Hindi Songs",https://www.youtube.com/watch?v=vU3X1Bv18Ac,3,Music,Vishesh Films
Sanam Teri Kasam,https://music.youtube.com/watch?v=KT6S5PleERk,3,Music,Himesh Reshammiya - Topic
"7. Shor's Algorithm I: Understanding Quantum Fourier Transform, Quantum Phase Estimation - Part 1",https://www.youtube.com/watch?v=mAHC1dWKNYE,1,Learning,Qiskit
The ringtone name is - chubina #aesthetic #relexingsound #ringtone #alarm #vinlandsaga #anime #viral,https://www.youtube.com/watch?v=Oo7IbdjFe24,3,Music,Sohamxx
Ik Tera,https://music.youtube.com/watch?v=C34ZjwPX6gE,3,Music,Maninder Buttar - Topic
Harsh Likhari - Bebe Bapu | Vagish | Harf Kambo (Official Video),https://www.youtube.com/watch?v=cpKolP6mMec,3,Music,Harsh Likhari
Introducing GPT-5,https://www.youtube.com/watch?v=0Uu_VJeVVfo,1,Learning,OpenAI
WARNING: Po*n Addiction is Destroying You - 5 Ways to STOP it NOW! | Ashu Ghai,https://www.youtube.com/watch?v=Bw47gpm0doU,2,Entertainment,Science and Fun Motivation
Shiva’s Family Still Controls India? 🕉,https://www.youtube.com/watch?v=bClUCfSS8uM,2,Entertainment,PraveenMohan
Gucci,https://music.youtube.com/watch?v=AD56VAydQXM,3,Music,Sikander Kahlon - Topic
Parasite Failed to Enter His Ear 😳🧬 | Ft. Way Down We Go | PARASITE Movie #shorts,https://www.youtube.com/watch?v=2bzpYMdbIKI,2,Entertainment,aspro editz
Web Technology Unit-2 | BCS-502 | Web Technology Aktu | Aktu Exams | WT 3rd  Year,https://www.youtube.com/watch?v=TxH3vHjdf-U,1,Learning,Multi Atoms Plus
Discover Your Future 2026 | What Next? | Netflix,https://www.youtube.com/watch?v=Hpi53atI4kE,2,Entertainment,Netflix India
L-5.4: Variable size Partitioning |  Memory management | Operating System,https://www.youtube.com/watch?v=JdPmsrYqRDY,1,Learning,Gate Smashers
The Incredible Meaning Behind a Spoon in a Bowl 😮,https://www.youtube.com/watch?v=__9iMH6gdII,2,Entertainment,Varizz
"Namami Shamishan Nirvan Rupam नमामी.. Rudrashtakam रुद्राष्टकम ।। रचनाकार ""गोस्वामी तुलसीदास जी""",https://www.youtube.com/watch?v=yMTVwjocM80,2,Entertainment,सिद्धार्थ
Bande O Tere Khas Ne-Jaan (feat. Shree Brar),https://music.youtube.com/watch?v=RTKFT2GmPYU,3,Music,Barbie Maan - Topic
Web Tech I ONE SHOT Revision I UNIT-1 I Introduction Web Page Designing I Amol Sir Gateway Classes,https://www.youtube.com/watch?v=Dti91zuPg40,1,Learning,GateWay Classes
WHY You Can't Donate Your Liver Infinitely:  Regenerated Structure 🚫 #science #organdonation,https://www.youtube.com/watch?v=UXzRaTmq_NA,2,Entertainment,Jimi Moso
Guru Randhawa - SIRRA ( Official Video ),https://www.youtube.com/watch?v=knGCfzm4jWs,3,Music,Guru Randhawa
Daisy Chaining in Priority Interrupt | Priority Based Interrupt in I/O Organization,https://www.youtube.com/watch?v=QvSmbkcmff0,1,Learning,Gate Smashers
Browser with VPN | Which browser is BEST for your security?,https://www.youtube.com/watch?v=oB2YwjBHlSA,1,Learning,VPNpro
"""Alakh sir broke all records again! 600k 😱🏆"" #iitbombay #iitdelhi #jeeadvanced #iitbaba #ashortaday",https://www.youtube.com/watch?v=BQIEP4GzlP8,4,Others,Medical Vedical
Lobsters Get Measured Before Kept,https://www.youtube.com/watch?v=kvDWV3PtAok,2,Entertainment,ASTROZEN 
Khudaya Khair (Slowed + Reverb) | Billu | Lofi Remix | Soham | Monali | Chill Bollywood Vibes,https://www.youtube.com/watch?v=k2fRxF9QnkA,3,Music,Isha Lofi
Asynchronous data transfer | Strobe control | COA | Lec-50 | Bhanu Priya,https://www.youtube.com/watch?v=EHdi72VVvB4,1,Learning,Education 4u
https://www.youtube.com/watch?v=tS7hxiDEB2c,https://www.youtube.com/watch?v=tS7hxiDEB2c,4,Others,Unknown
Saiyaara (Female Version),https://music.youtube.com/watch?v=b07Eh8yyadY,3,Music,Jibon Krishna Das - Topic
Database Management System Unit 4 One shot BCS501 |Transaction Processing Concept Unit 4 DBMS BCS501,https://www.youtube.com/watch?v=xKh3iNSTFlE,1,Learning,EduShine Classes - Arman Ali
Vigdiyan Heeran,https://music.youtube.com/watch?v=ewH-HKNFrXc,3,Music,Yo Yo Honey Singh - Topic
Tarpan 24  तर्पण २४ I Nari Tum Kewal Shraddha Ho I Jaishankar Prashad I Dr Kumar Vishwas,https://www.youtube.com/watch?v=NYWBeyNApSw,2,Entertainment,Kumar Vishwas
building a http server from scratch in c,https://www.youtube.com/watch?v=jYmWEgmOcGQ,1,Learning,isak
Piya Ji Ke Muski - Slowed and Reverb,https://www.youtube.com/watch?v=meaWisz1hz0,3,Music,Bhojpuri Lo-fi Music
Dil Tu Jaan Tu (Full Video) Gurnazar Ft. Kritika Yadav | New Punjabi Viral Song | Chet Singh,https://www.youtube.com/watch?v=kyjg5kX4pT0,3,Music,Jhankar Music Punjabi
Ask Anything | Perplexity,https://www.youtube.com/watch?v=TrscW0hhx3E,1,Learning,Unknown
"Ban Ja Rani (From ""Tumhari Sulu"")",https://music.youtube.com/watch?v=GwbrE069v_U,3,Music,Guru Randhawa - Topic
L-4.2: Resource Allocation Graph in Deadlock | Single Instance with example | Operating System,https://www.youtube.com/watch?v=BW74JYB3QOM,1,Learning,Gate Smashers
Rahi Baithal Kera Ke Tham Pa | awdhesh premi yadav all bhojpuri song | New Bhojpuri song,https://www.youtube.com/watch?v=htoaWvslaYI,3,Music,Status Manatale
SPACE FOAM! 🤯 Vitamin Tablet Explodes in Zero Gravity,https://www.youtube.com/watch?v=KnvuS4fgf4Y,2,Entertainment,Astro world
"Printing Stars ""*"" in Pyramid Shape | Triangle | Python Pattern Program",https://www.youtube.com/watch?v=rBqVjWFufPY,1,Learning,The Python Dude
5.28 B-Tree Deletion in Data Structures | DSA Tutorials,https://www.youtube.com/watch?v=GKa_t7fF8o0,1,Learning,Jenny's Lectures CS IT
Chomsky Normal Form & CFG to CNF Conversion,https://www.youtube.com/watch?v=Mh-UQVmAxnw,1,Learning,Neso Academy
Use ChatGPT Lifetime FREE⚡️ 78/100 Days of Tech Stories🫡,https://www.youtube.com/watch?v=TbysFzMBcng,4,Others,Luv Sankhla
